LOINC Code,Test Name,Normal Range,Most Common Units
6246-3,Homocysteine,4.6-11.6,µmol/L
8310-5,Hematocrit (Hct),"M: 39-50, F: 35-47",%
26881-3,Immunoglobulin A (IgA),70-400,mg/dL
6298-4,C-Reactive Protein (CRP),<10,mg/L
711-2,Hemoglobin (Hb),"M: 13.5-17.5, F: 12.0-15.5",g/dL
5792-7,Alanine Aminotransferase (ALT),"M: 7-55, F: 7-45",U/L
2500-7,Albumin,3.5-5.5,g/dL
84215-3,Sodium (Na),136-145,mEq/L
59032-3,"Bilirubin, free (unconjugated, indirect)",0.1-1.2,mg/dL
6768-6,Alkaline Phosphatase (ALP),20-140,U/L
59557-9,Mean Corpuscular Volume (MCV),80-100,fL
2713-6,"Glucose Post 75 g Glucose PO in Serum, Plasma or WB",≤ 7.8 (2 hours after),mmol/L
9279-1,Respiratory rate,12-20,breaths per minute
6690-2,LDL Cholesterol,<130,mg/dL
1742-6,Albumin/Globulin Ratio (A/G ratio),1.1-2.5,(dimensionless)
3024-7,Calcium (Ca),8.5-10.5,mg/dL
30428-7,WBC Count (Peripherial Blood),"4,500-11,000",/µL (cells/µL)
2093-3,Total Cholesterol,<200,mg/dL
6095-4,Platelet Count,"150,000-450,000",/µL (cells/µL)
2703-7,Carbon Dioxide (CO2),20-29,mEq/L
1920-8,Creatinine,"M: 0.6-1.2, F: 0.5-1.1",mg/dL
26515-7,Erythrocyte (RBC),"M: 4.7-6.1, F: 4.2-5.4",× 10^6/µL
770-8,AST (Aspartate aminotransaminase),"M: 8-48, F: 7-40",U/L
742-7,MCH (Mean Corpuscular Hemoglobin),27-33,pg
2708-6,Chloride (Cl),98-107,mEq/L
33756-8,Neutrophils,40-75,%
48065-7,Absolute Lymphocytes Count,"1,000-4,000",/µL (cells/µL)
5902-2,Bicarbonate (HCO3),21-31,mEq/L
71802-3,Albumin (Serum or Plasma),3.5-5.5,g/dL
4548-4,Basophils (Absolute),0-200,/µL (cells/µL)
6158-0,Eosinophils (Absolute),150-500,/µL (cells/µL)
19994-3,B-Type Natriuretic Peptide (BNP),<100,pg/mL
92140-3,von Willebrand Factor Antigen (vWF:Ag),50-200,%
5803-2,Urea Nitrogen (BUN),6-20,mg/dL
85339-0,Estimated Glomerular Filtration Rate (eGFR),> 60 (age 18-69),mL/min/1.73 m^2
94040-3,Alpha 1 Antitrypsin,90-200,mg/dL
33959-8,Glycated Hemoglobin A1c (HbA1c),< 5.7,%
787-2,Mean Corpuscular Hemoglobin Concentration (MCHC),32-36,g/dL
80383-3,Potassium (K),3.5-5.2,mEq/L
2571-8,Amylase,30-118,U/L
21908-9,Triglycerides (TG),<150,mg/dL
6085-5,Red Cell Distribution Width (RDW),11.0-14.5,%
706-2,Leukocytes (WBC),"4,500-11,000",/µL (cells/µL)
2069-3,High-density lipoprotein (HDL) cholesterol,"Male: >40, Female: >50",mg/dL
88020-3,Total Protein,6.0-8.3,g/dL
2744-1,Blood pH (Arterial),7.35-7.45,(dimensionless)
85337-4,Neutrophils (Absolute),"1,800-7,700",/µL (cells/µL)
2157-6,Uric Acid,"M: 3.4-7.0, F: 2.4-6.0",mg/dL
788-0,MCHC (Mean Corpuscular Hemoglobin Concentration),32-36,g/dL
5767-9,Monocytes (Absolute),200-950,/µL (cells/µL)
28245-9,Creatine Kinase (CK),"M: 52-336, F: 38-176",U/L
5802-4,BUN/Creatinine Ratio,10-20,(dimensionless)
6082-2,Prothrombin Time (PT),9.4-12.5,seconds
92141-1,D-Dimer,<500,ng/mL
38265-5,Immunoglobulin G (IgG),"700-1,600",mg/dL
25428-4,Estradiol (E2),"Male: 10-50, Female:   21-312 (premenopausal), 0-178 (postmenopausal)",pg/mL
33762-6,Lymphocytes %,20-40,%
1988-5,Phosphorus (serum or plasma),2.5-4.5,mg/dL
89-8,Acetone,≤ 3.0,mg/dL
18262-6,Thyroxine Free (Free T4),0.9-1.7,ng/dL
2085-9,C3 Complement,90-180,mg/dL
2514-8,Cryoglobulin (qualitative),Negative,(dimensionless)
10834-0,Rheumatoid Factor (RF),<14,IU/mL
736-9,Basophils %,1-3,%
88262-1,Oxalate,0-40,µmol/d
718-7,Hematocrit,"M: 39-50, F: 35-47",%
2345-7,Ferritin,"M: 20-250, F: 10-120",ng/mL
42719-5,Beta 2 Microglobulin,1.2-2.4,mg/L
85319-2,Immature Granulocytes% (IG%),0-2,%
2823-3,Free Triiodothyronine (Free T3),2.0-4.4,pg/mL
6189-5,Prostate Specific Antigen(PSA),< 4,ng/mL
33914-3,Thyroid-Stimulating Hormone (TSH),0.4-4.2,mIU/L
88040-1,Lactate Dehydrogenase (LDH),140-280,U/L
2019-8,HDL Cholesterol Efflux Capacity (CEC),"M: 3.7-6.5, F: 4.0-6.7",%
777-3,Eosinophils %,0-4,%
20570-8,C4 Complement,16-47,mg/dL
6248-9,Methemoglobin (blood),<1.5,%
94531-1,Lactate,0.5-2.2,mmol/L
5811-5,Triglyceride/HDL Ratio,< 3.5,(dimensionless)
713-8,Hypochromia %,<10,%
92139-5,von Willebrand Factor Collagen-binding (vWF:CB),50-200,%
49765-1,Parathyroid Hormone (PTH)_intact_,15-65,pg/mL
20505-4,Total Iron-Binding Capacity (TIBC),240-450,µg/dL
3016-3,"Calcium Ion (ionized, adjusted)",4.64-5.28,mg/dL
89579-7,Blood transferrin saturation,20-50,%
46288-7,Bilirubin_conjugated (direct),0-0.3,mg/dL
92130-4,von Willebrand Factor Ristocetin Cofactor (vWF:RCo),50-200,%
7258-7,Blood viscosity (Intrinsic),4-5.4,cP (Centipoise)
14959-1,Red cell count_concent.csv,"M: 4.7-6.1, F: 4.2-5.4",× 10^6/µL
55277-8,Pain severity -,N/A (subjective scale),"NRS, VAS or others"
17861-6,Tryptase,<11.4,ng/mL
19123-9,Antithrombin (activity),80-130,%
20454-5,Apolipoprotein B,40-125,mg/dL
10230-1,Anion gap,7-16,mEq/L
10480-2,Bicarbonate (CO2) (Urine),22.4-26.4,mmol/L
2947-0,Direct Antiglobulin Test (DAT) - IgG,Negative,(dimensionless)
14804-9,Direct Antiglobulin Test (DAT) - IgA,Negative,(dimensionless)
44963-7,Direct Antiglobulin Test (DAT) - IgM,Negative,(dimensionless)
38483-4,Folic Acid (Folate),> 3.0,ng/mL
5905-5,Lipase,12-70,U/L
8462-4,Pulse Pressure,30-50,mmHg
30385-9,Serum Osmolality,275-295,mOsm/kg
21000-5,Urine specific gravity,1.005-1.030,(dimensionless)
5804-0,Urea Nitrogen (prerace),6-20,mg/dL
6075-6,Platelet Distribution Width (PDW),9.0-17.0,fL
6106-9,Platelet Mean Volume (v2),7.5-12.5,fL
5799-2,Albumin/Globulin Ratio (A/G) (V3),1.1-2.5,(dimensionless)
8867-4,Systolic Blood Pressure_,90-120,mmHg
92134-6,von Willebrand Factor Propeptide (vWFpp),6-20,IU/dL
4544-3,Monocytes %,2-10,%
2276-4,Complement C1-esterase inhibitor_ functional,70-130,%
33037-3,Glucose_ePlbs,70-99**,mg/dL
92142-9,von Willebrand Factor Multimers,N/A (patterns interpretation),(dimensionless)
92131-2,von Willebrand Factor Procoagulant Activity (vWF:Act),50-200,%
2502-3,Serum or Plasma in Cardiolipin Antibody.G IgG class,<20,GPLU/mL
8478-0,O2 Saturation,≥ 95 (HK Not Present),%
26453-1,Follicle-stimulating Hormone (FSH),"M: 1.6-8, F: 1.5-39*",mIU/mL
21924-6,Cryocrit,≤ 1,%
19926-5,Gliadin IgG/IgA,< 20,U/mL
6833-8,Homovanillic Acid (HVA)_24H-un,1.4-8.8,mg/24h
6206-7,Isopropanol_xUTox,Negative,(dimension
92138-7,von Willebrand Factor Antigen/Activity ratio (vWF:R),0.6-2.0,(dimensionless)
6299-2,C-Reactive Protein (High sensitivity),< 3.0,mg/L
2339-0,Gamma-Glutamyl Transferase (GGT),"M: 8-61, F: 5-36",U/L
65750-2,Interleukin-6 (IL-6),< 7,pg/mL
5797-6,Alanine Aminotransferase/Aspartate Aminotransferase (ALT/AST ratio),0.7-1.00,(dimensionless)
63513-6,Immunoglobulin E (IgE) Specific (Allergen),N/A (variable depending on allergen),kU_A/L
5770-3,Monocyte Distribution Width (MDW),15-26,fL
85318-4,Immature Granulocytes Absolute (IG)_#/L,0-100,/µL (cells/µL)
1960-4,Complement Total (CH50),30-75,U/mL
5778-6,Immature Platelet Fraction (IPF),1-7,%
1751-7,Ammonia,15-50,µmol/L
3094-0,Hemoglobin A2 (HbA2),2-3.5,%
751-8,Blood loss (screening),Negative,(dimensionless)
2028-9,High Molecular Weight Kininogen,63-160,%
731-0,Anisocytosis %,< 13,%
72166-2,Dihydroxy-testosterone,"M: 292-1052, F: 178-589",pg/mL
2160-0,Cortisol,"6-23 (morning), 3-13 (afternoon)",µg/dL
32167-9,Protein C (functional assay),70-130,%
20565-8,C3 Complement (Urine),< 6,mg/dL
32623-1,Plateletcrit (PCT),0.22-0.24,%
80382-5,Sodium (in)/Potassium (out) Concentration Difference,N/A (Difference used for interpretation),mEq/L
57905-2,Protein/Albumin Ratio (Urine),< 30,mg/g
786-4,RBC Anisocytosis_,< 14,%
1975-2,Cyclic Citrullinated peptide (anti-CCP) antibody,< 20,Units/mL
6301-6,WBC White Blood Corpus_DSCH_PLN,"4,500-11,000",/µL (cells/µL)
5794-3,Alkaline Phosphatase/Alanine Aminotransferase (ALP/ALT ratio),0.1-1.00,(dimensionless)
39156-5,Procollagen Type III N-terminal peptide (P3NP),2.2±0.8,µg/L
2951-2,Direct Antiglobulin Test (DAT) - C3b,Negative,(dimensionless)
2857-1,Copper (Serum/Plasma),70-140,µg/dL
2498-4,Factor VIII activity,50-150,%
8480-6,Diastolic Blood Pressure,60-80,mmHg
75443-2,Immunoglobulin A (IgA) Blood Spot (cardi%),81-463,mg/dL
2075-0,Ceruloplasmin,20-35,mg/dL
88021-1,O2 Saturation - Pulse Oximetry (Spo2),≥ 95 (HK Not Present),%
6276-0,Creatine Kinase-MB (CK-MB),0-4.9,ng/mL
785-6,RBC Macrocytosis_,< 14,%
6273-7,Creatine Kinase_Muscle/Brain (CK-MB) Mass,0-7.2,ng/mL
26464-8,Luteinizing Hormone (LH),"M: 1.2-9.6, F: 1.1-58*",mIU/mL
704-7,Hemoglobin S,<1% Hb S,%
72514-3,5-Hydroxyindoleacetic Acid (5-HIAA) _24 hr urine,2-10,mg/24h
6844-5,Zinc (Serum or Plasma),60-120,µg/dL
